,ID,name,club,age,league,height_cm,weight_kg,nationality,puntaje_global,potencia,ritmo,disparos,pases,amagues,defensa,fisico
0,20801,Cristiano Ronaldo,Real Madrid CF,32,Spanish Primera División,185.0,80.0,Portugal,94,94,90,93,82,90,33,80
1,158023,L. Messi,FC Barcelona,30,Spanish Primera División,170.0,72.0,Argentina,93,93,89,90,86,96,26,61
2,190871,Neymar,Paris Saint-Germain,25,French Ligue 1,175.0,68.0,Brazil,92,94,92,84,79,95,30,60
3,176580,L. Suárez,FC Barcelona,30,Spanish Primera División,182.0,86.0,Uruguay,92,92,82,90,79,87,42,81
4,167495,M. Neuer,FC Bayern Munich,31,German Bundesliga,193.0,92.0,Germany,92,92,91,90,95,89,60,91
5,188545,R. Lewandowski,FC Bayern Munich,28,German Bundesliga,185.0,79.0,Poland,91,91,81,88,75,86,38,82
6,193080,De Gea,Manchester United,26,English Premier League,193.0,76.0,Spain,90,92,90,85,87,90,58,86
7,183277,E. Hazard,Chelsea,26,English Premier League,173.0,76.0,Belgium,90,91,90,82,84,92,32,66
8,182521,T. Kroos,Real Madrid CF,27,Spanish Primera División,182.0,78.0,Germany,90,90,56,81,89,81,73,70
9,167664,G. Higuaín,Juventus,29,Italian Serie A,184.0,87.0,Argentina,90,90,79,87,70,83,25,74
10,155862,Sergio Ramos,Real Madrid CF,31,Spanish Primera División,183.0,75.0,Spain,90,90,76,63,71,71,88,83
11,192985,K. De Bruyne,Manchester City,26,English Premier League,181.0,68.0,Belgium,89,92,75,84,88,85,45,75
12,192119,T. Courtois,Chelsea,25,English Premier League,199.0,94.0,Belgium,89,92,85,91,69,88,49,86
13,184941,A. Sánchez,Arsenal,28,English Premier League,169.0,62.0,Chile,89,89,86,84,80,89,40,78
14,177003,L. Modrić,Real Madrid CF,31,Spanish Primera División,174.0,65.0,Croatia,89,89,73,75,86,89,72,65
15,173731,G. Bale,Real Madrid CF,27,Spanish Primera División,183.0,74.0,Wales,89,89,94,87,84,85,57,76
16,153079,S. Agüero,Manchester City,29,English Premier League,173.0,70.0,Argentina,89,89,87,88,75,89,23,72
17,138956,G. Chiellini,Juventus,32,Italian Serie A,187.0,85.0,Italy,89,89,74,46,56,59,90,85
18,1179,G. Buffon,Juventus,39,Italian Serie A,191.0,94.0,Italy,89,89,89,88,74,84,46,90
19,211110,P. Dybala,Juventus,23,Italian Serie A,177.0,73.0,Argentina,88,93,86,85,81,91,24,67
20,200389,J. Oblak,Atlético Madrid,24,Spanish Primera División,189.0,82.0,Slovenia,88,93,84,90,77,84,52,87
