ID,make,fuel_type,num_of_doors,horsepower,price
1,alfa-romeo,gas,two,111,13495
2,alfa-romeo,gas,two,111,16500
3,alfa-romeo,gas,two,154,16500
4,audi,gas,four,102,13950
5,audi,gas,four,115,17450
6,audi,gas,two,110,15250
7,audi,gas,four,110,17710
8,audi,gas,four,110,18920
9,audi,gas,four,140,23875
10,audi,gas,two,160,26500
11,bmw,gas,two,101,16430
12,bmw,gas,four,101,16925
13,bmw,gas,two,121,20970
14,bmw,gas,four,121,21105
15,bmw,gas,four,121,24565
16,bmw,gas,four,182,30760
17,bmw,gas,two,182,41315
18,bmw,gas,four,182,36880
19,chevrolet,gas,two,48,5151
20,chevrolet,gas,two,70,6295
21,chevrolet,gas,four,70,6575
22,dodge,gas,two,68,5572
23,dodge,gas,two,68,6377
24,dodge,gas,two,102,7957
25,dodge,gas,four,68,6229
26,dodge,gas,four,68,6692
27,dodge,gas,four,68,7609
28,dodge,gas,four,102,8558
29,dodge,gas,four,88,8921
30,dodge,gas,two,145,12964
31,honda,gas,two,58,6479
32,honda,gas,two,76,6855
33,honda,gas,two,60,5399
34,honda,gas,two,76,6529
35,honda,gas,two,76,7129
36,honda,gas,four,76,7295
37,honda,gas,four,76,7295
38,honda,gas,two,86,7895
39,honda,gas,two,86,9095
40,honda,gas,four,86,8845
41,honda,gas,four,86,10295
42,honda,gas,four,101,12945
43,honda,gas,two,100,10345
44,isuzu,gas,four,78,6785
45,isuzu,gas,two,70,7500
46,isuzu,gas,four,70,7800
47,isuzu,gas,two,90,11048
48,jaguar,gas,four,176,32250
49,jaguar,gas,four,176,35550
50,jaguar,gas,two,262,36000
51,mazda,gas,two,68,5195
52,mazda,gas,two,68,6095
53,mazda,gas,two,68,6795
54,mazda,gas,four,68,6695
55,mazda,gas,four,68,7395
56,mazda,gas,two,84,8845
57,mazda,gas,four,84,8495
58,mazda,gas,two,84,10595
59,mazda,gas,four,84,10245
60,mazda,diesel,four,64,10795
61,mazda,gas,four,84,11245
62,mazda,gas,four,120,18280
63,mazda,diesel,four,72,18344
64,mercedes-benz,diesel,four,123,25552
65,mercedes-benz,diesel,four,123,28248
66,mercedes-benz,diesel,two,123,28176
67,mercedes-benz,diesel,four,123,31600
68,mercedes-benz,gas,four,155,34184
69,mercedes-benz,gas,two,155,35056
70,mercedes-benz,gas,four,184,40960
71,mercedes-benz,gas,two,184,45400
72,mercury,gas,two,175,16503
73,mitsubishi,gas,two,68,5389
74,mitsubishi,gas,two,68,6189
75,mitsubishi,gas,two,68,6669
76,mitsubishi,gas,two,102,7689
77,mitsubishi,gas,two,116,9959
78,mitsubishi,gas,two,88,8499
79,mitsubishi,gas,two,145,12629
80,mitsubishi,gas,two,145,14869
81,mitsubishi,gas,two,145,14489
82,mitsubishi,gas,four,88,6989
83,mitsubishi,gas,four,88,8189
84,mitsubishi,gas,four,116,9279
85,mitsubishi,gas,four,116,9279
86,nissan,gas,two,69,5499
87,nissan,diesel,two,55,7099
88,nissan,gas,two,69,6649
89,nissan,gas,four,69,6849
90,nissan,gas,four,69,7349
91,nissan,gas,two,69,7299
92,nissan,gas,two,69,7799
93,nissan,gas,four,69,7499
94,nissan,gas,four,69,7999
95,nissan,gas,two,69,8249
96,nissan,gas,four,97,8949
97,nissan,gas,four,97,9549
98,nissan,gas,four,152,13499
99,nissan,gas,four,152,14399
100,nissan,gas,four,152,13499
101,nissan,gas,two,160,17199
102,nissan,gas,two,200,19699
103,nissan,gas,two,160,18399
104,peugeot,gas,four,97,11900
105,peugeot,diesel,four,95,13200
106,peugeot,gas,four,97,12440
107,peugeot,diesel,four,95,13860
108,peugeot,gas,four,95,15580
109,peugeot,diesel,four,95,16900
110,peugeot,gas,four,95,16695
111,peugeot,diesel,four,95,17075
112,peugeot,gas,four,97,16630
113,peugeot,diesel,four,95,17950
114,peugeot,gas,four,142,18150
115,plymouth,gas,two,68,5572
116,plymouth,gas,two,102,7957
117,plymouth,gas,four,68,6229
118,plymouth,gas,four,68,6692
119,plymouth,gas,four,68,7609
120,plymouth,gas,four,88,8921
121,plymouth,gas,two,145,12764
122,porsche,gas,two,143,22018
123,porsche,gas,two,207,32528
124,porsche,gas,two,207,34028
125,porsche,gas,two,207,37028
126,porsche,gas,two,288,25800
127,saab,gas,two,110,11850
128,saab,gas,four,110,12170
129,saab,gas,two,110,15040
130,saab,gas,four,110,15510
131,saab,gas,two,160,18150
132,saab,gas,four,160,18620
133,subaru,gas,two,69,5118
